0	9	21
1	5255	9
1	7251	6
1	7414	6
2	60	12
2	6943	9
3	4	9
3	2038	12
4	2039	6
4	17693	6
5	492	12
5	5624	9
6	1052	6
6	1185	15
7	204	4
7	10112	7
7	10499	8
8	10	6
8	485	15
10	671	4
10	5257	6
10	24179	5
11	337	10
11	4339	4
12	768	6
12	6845	6
12	11219	5
13	6701	6
13	6843	9
13	16026	6
14	436	6
14	4790	9
14	12508	6
15	4805	9
15	5688	6
15	19542	4
16	1889	6
16	12831	4
16	17505	6
17	1766	6
17	1905	13
18	713	6
18	1287	11
19	642	4
19	6829	6
19	10504	6
20	1035	6
20	3288	4
20	8165	9
21	11814	8
21	18387	4
22	201	15
22	10105	4
23	2612	4
23	20332	7
23	21810	4
24	8039	9
24	8883	6
24	19322	6
25	2627	13
26	1112	6
26	15256	6
26	16884	6
27	1228	8
27	5686	9
27	22585	4
28	61	4
28	5623	4
28	6628	9
29	6630	6
29	8454	4
29	11796	5
29	17690	4
30	56	6
30	1283	6
30	17513	6
31	2693	6
31	19845	6
31	25019	4
32	756	8
32	15113	6
33	498	4
33	18175	6
33	19374	4
34	376	6
34	1026	6
34	20560	7
35	2357	10
35	12008	5
35	21413	4
36	1329	6
36	3464	9
36	10154	6
37	730	12
37	7467	9
38	524	7
38	1438	6
38	18433	4
39	5272	9
39	18185	6
40	305	4
40	777	4
40	15906	6
41	1556	6
41	1715	12
42	471	4
42	5748	4
42	10389	6
43	3210	11
43	5750	4
44	1494	4
44	8205	4
44	12913	5
44	21375	4
45	881	8
45	1902	13
46	2593	13
46	3202	6
47	1332	6
47	7835	6
47	11575	9
48	7632	9
48	13275	4
48	19691	6
49	250	4
49	7524	9
49	19153	4
50	7535	9
50	13612	6
50	14468	4
51	2596	4
51	7627	9
51	19151	4
52	7534	4
52	7623	9
52	14469	6
53	295	17
54	2909	6
54	3171	6
54	22263	4
55	5649	6
55	15191	6
55	20729	7
56	6714	6
56	17517	6
57	7859	4
57	17515	6
57	17784	6
58	2281	6
58	13994	6
58	14042	4
59	1953	12
59	18532	6
60	6942	4
61	5622	6
61	6629	6
62	3442	8
62	9309	4
63	241	10
63	9310	4
64	8700	8
64	15119	6
64	18422	4
65	1546	12
65	10258	4
66	720	13
66	24095	4
67	629	6
67	6299	6
67	24096	4
68	7235	7
68	16621	4
68	18406	6
69	462	10
69	463	5
70	3795	6
70	20042	4
70	25753	4
71	2200	6
71	5746	6
71	17791	4
72	1083	4
72	7687	9
72	8558	6
73	2530	8
73	3626	4
73	7685	7
74	3761	4
74	11389	4
74	21684	4
75	1180	8
75	6102	9
76	5538	9
76	7999	6
76	8945	4
77	5536	9
77	7867	6
77	14837	4
78	548	4
78	17521	6
79	278	6
79	6794	6
80	811	6
80	3800	6
80	11873	9
81	2860	6
81	8691	6
81	12832	4
82	1169	12
82	8091	6
83	8092	6
83	10720	9
83	18401	6
84	177	18
85	1012	6
85	7205	9
85	9985	6
86	5067	9
86	9121	6
86	9531	4
87	14433	7
87	20227	6
87	23666	4
88	3453	6
88	10725	4
88	19847	6
89	1605	12
89	17667	6
90	2197	6
90	4252	6
90	18197	6
91	1939	10
91	18198	6
92	1316	4
92	7971	8
92	19124	4
93	681	15
93	13937	4
94	1408	6
94	5880	9
94	17034	6
95	5883	6
95	17033	6
95	21809	4
96	5344	9
96	5512	6
96	19512	6
97	1138	15
97	1827	6
98	702	6
98	7134	9
99	698	6
99	1725	6
99	10475	9
100	7353	4
100	7615	6
100	18763	4
100	23271	5
101	2417	4
101	3050	6
101	11014	7
102	7360	6
102	8536	7
102	13634	6
103	1690	4
103	18759	7
103	25164	4
104	4131	8
104	15128	6
105	525	6
105	2486	6
105	18434	6
106	1410	6
106	15861	6
107	1218	6
107	15864	6
107	19439	6
108	9841	4
108	15304	4
108	23429	4
109	2834	6
109	9453	4
109	12532	6
110	11645	4
110	11738	7
110	14507	4
111	3252	6
111	24823	4
111	25034	4
112	2244	6
112	8096	7
112	21606	4
113	8078	6
113	8099	7
113	18564	6
114	1403	13
114	2500	4
115	2397	8
115	5534	7
116	219	6
116	7796	6
116	23287	5
117	360	4
117	7794	9
117	9762	6
118	15330	6
118	16870	4
118	19869	6
119	2299	13
119	12538	6
120	1673	8
120	10187	9
121	248	6
121	1497	6
122	1697	6
122	2243	4
122	16095	6
123	6720	4
123	10005	4
123	17502	6
124	448	4
124	5569	7
124	7937	6
125	1236	6
125	2755	12
126	8665	4
126	12443	6
126	16933	4
127	2771	8
127	4592	11
128	638	6
128	1286	4
128	13303	4
129	5679	4
129	6822	6
129	10511	6
130	709	12
130	25241	4
131	2051	6
131	11818	4
131	13000	4
132	312	4
132	1908	13
133	4681	9
133	15202	6
134	6733	6
134	6770	6
134	7705	9
135	461	9
135	13077	6
135	22997	4
136	168	10
136	5559	6
136	23369	5
137	2088	6
137	7911	9
137	15765	6
138	192	10
138	6478	9
139	3279	6
139	3489	9
139	11493	6
140	434	15
141	452	15
141	6992	4
142	2496	10
142	10702	6
143	4161	6
143	10705	9
143	22211	4
144	3480	6
144	6322	4
144	8401	6
145	1267	10
146	3850	4
146	5074	6
146	5597	9
147	1059	4
147	9408	7
147	18708	4
148	801	9
148	15106	6
149	4338	4
149	7428	7
150	2762	12
150	4643	6
151	1234	6
151	11416	8
151	11677	5
152	284	10
152	13983	6
153	2953	12
153	22468	4
154	2893	6
154	13808	6
154	14235	4
155	1639	8
155	13811	6
155	22641	4
156	2707	8
156	8776	6
157	8835	9
157	9788	6
158	8950	6
158	10665	9
158	24941	4
159	13918	6
159	14201	6
159	24943	4
160	1617	12
160	9851	6
161	3333	12
161	17938	6
162	2064	4
162	2985	6
162	5923	9
163	4049	8
163	18862	4
164	13952	6
164	14174	4
164	19323	6
165	843	12
165	19714	4
166	1212	4
166	2415	13
167	703	6
167	7149	7
167	7641	6
168	5558	9
169	1818	15
169	4998	6
170	15347	6
170	16853	6
170	25815	4
171	1315	4
171	3387	4
171	12504	6
172	1543	10
172	1988	6
173	1613	6
173	12654	6
173	15891	4
174	1579	6
174	1836	4
174	10144	6
175	14411	6
175	22362	4
175	25240	4
176	774	12
176	12441	4
178	597	6
178	901	6
178	7221	6
179	1582	6
179	7219	6
179	10649	4
180	7457	4
180	14937	6
180	18091	4
181	1301	12
181	9774	9
182	17525	6
183	11676	4
183	17846	4
183	19498	6
184	3487	6
184	5989	4
184	15653	6
185	552	6
185	1387	6
185	9928	9
186	2333	4
186	9008	6
187	804	4
187	805	10
188	9122	4
188	9695	9
189	1243	4
189	8376	4
189	9697	9
190	984	13
191	2179	4
191	2528	6
191	11391	9
192	6479	9
193	747	19
194	8381	6
194	10491	6
194	18461	6
195	1201	12
195	1832	6
196	8195	6
196	10309	7
196	13871	4
197	8191	9
197	21235	4
198	794	4
198	7421	4
198	16971	7
199	796	13
199	1086	4
200	2190	15
202	16458	4
202	16589	6
202	25125	4
203	836	12
204	7308	6
204	10106	4
205	3615	8
205	5301	6
206	3418	10
206	7328	6
207	292	10
207	7334	6
208	1098	4
208	13269	6
208	20669	7
209	2156	13
210	7738	7
210	12970	6
210	14384	6
211	8876	9
211	12973	6
211	14386	4
212	1011	4
212	8051	9
212	8266	6
213	8053	6
213	8641	4
213	11830	9
214	626	8
214	627	6
215	622	4
215	1306	15
216	4453	8
216	7810	4
217	7813	7
217	14434	6
217	14695	6
218	9761	6
218	18770	4
218	18785	7
219	20674	4
219	20913	4
220	389	4
220	7273	9
221	10068	6
221	10485	9
222	2128	11
222	3341	4
223	3227	6
223	10011	4
223	18179	4
224	2657	6
224	13820	6
225	3234	12
226	1475	15
227	603	9
227	9078	4
228	2420	10
228	18929	4
229	2659	6
229	11333	6
229	18915	6
230	8970	4
230	12149	7
230	12794	6
231	4280	10
231	17941	7
232	379	4
232	10777	9
232	18456	4
233	799	13
233	18211	6
234	1118	6
234	4966	6
234	23330	4
235	2145	12
235	3732	4
236	983	13
236	22353	4
237	1233	4
237	3620	7
237	24701	4
238	9751	6
238	15773	4
239	4289	4
239	9395	7
239	23324	4
240	15899	6
240	15916	6
240	22935	4
241	7708	6
242	918	7
242	10163	6
242	24805	4
243	717	6
243	1105	4
243	5683	6
244	6575	6
244	11686	5
244	14396	6
245	6563	9
245	9474	6
245	15506	6
246	2232	4
246	13984	6
246	22198	4
247	3441	7
247	10965	6
247	22470	4
248	7943	4
248	12076	6
249	1496	6
249	7941	4
249	8199	6
250	12920	6
251	7521	9
251	11211	6
252	2214	6
252	8013	6
252	13767	6
253	4025	4
253	12627	6
253	13762	6
254	7940	4
254	10716	6
254	12079	4
255	3258	4
255	10714	6
255	13900	4
256	9266	6
256	15193	4
256	16923	4
257	1830	10
257	2908	6
258	1520	10
258	8636	7
259	7608	6
259	15338	7
259	19164	4
260	6944	9
260	15905	6
261	3179	5
261	3547	6
262	697	13
262	9071	4
263	439	4
263	6269	7
263	8387	6
264	7437	6
264	12064	8
265	1541	4
265	15108	4
265	18172	6
266	6470	5
266	6472	4
266	9003	6
266	19429	4
267	6470	4
267	6472	5
267	15989	6
267	24051	4
268	1842	9
268	9864	4
268	11148	6
269	804	6
269	1842	4
269	3986	4
269	9864	4
270	10272	6
270	11481	9
271	1229	4
271	5670	9
271	11478	6
272	281	12
272	14004	6
273	281	6
273	2275	6
273	8583	6
274	1796	6
274	10537	6
274	18286	4
275	10518	4
275	15062	4
275	18368	6
276	1299	6
276	7138	7
276	11032	4
277	14936	6
277	15044	5
278	6795	9
279	669	10
279	6712	7
280	8576	6
280	14002	6
280	14027	4
282	1805	4
282	5896	9
282	6188	6
283	1805	8
283	5899	9
284	13981	6
285	1629	4
285	2628	10
286	1482	4
286	24154	4
286	24321	4
287	7280	6
287	10767	6
287	13629	6
288	2322	6
288	13344	6
288	13476	6
289	13347	6
289	13475	6
289	14578	6
290	626	6
290	627	4
291	10545	6
291	16620	4
292	7327	7
293	7616	9
293	14476	4
294	2503	4
294	7540	9
294	11052	6
296	912	6
296	5311	6
297	2174	6
297	15196	6
298	5541	6
298	8072	6
299	12237	4
300	4031	6
300	6875	6
300	16040	6
301	3438	6
301	5705	6
302	7385	6
302	13632	6
303	7663	7
303	24522	4
304	12672	6
304	17040	4
305	776	8
306	11890	5
306	20655	6
307	8257	4
307	19736	4
308	1300	13
308	9658	6
309	19007	7
309	19430	6
310	2032	6
310	16767	6
310	23766	4
311	1614	10
311	2548	6
312	1909	15
313	18497	6
313	19339	6
314	4186	4
314	4271	6
314	19946	5
315	1662	4
315	15091	6
315	23158	4
316	3242	11
316	6221	4
317	3036	7
317	25734	4
318	2900	6
318	6290	7
318	8551	6
319	1284	6
319	9179	4
319	20070	4
319	23698	5
320	7792	7
321	360	4
321	23285	5
322	1310	4
322	4843	5
322	11473	6
323	5689	9
323	19543	6
324	7775	7
324	10569	4
324	19129	4
325	2184	9
325	14595	6
326	3961	4
326	14809	7
326	14985	6
327	8778	6
327	9384	9
327	14983	6
328	2616	4
328	2617	6
328	12445	7
329	6165	9
329	25154	4
330	9373	9
330	12221	4
330	14534	4
331	987	14
332	3187	10
332	21232	4
333	10159	6
333	16656	6
334	2068	4
334	5914	7
334	6184	6
335	1811	11
335	10190	4
336	7422	6
336	18246	4
338	1680	4
338	7903	8
338	13815	4
339	2942	8
339	22200	4
340	383	4
340	18581	6
340	19878	4
341	1641	10
341	22578	4
342	1132	7
342	20533	4
342	24324	4
343	704	8
343	10601	9
344	2114	6
344	14825	6
344	17916	4
345	3400	10
345	15691	6
346	3122	4
346	3124	10
347	1994	4
347	5047	6
347	22180	4
348	12595	6
348	15695	4
348	16779	6
349	12592	6
349	15668	4
349	16781	6
350	4523	11
350	18355	6
351	679	6
351	9181	9
352	8613	6
