0	30	2
0	85	2
0	126	4
0	131	3
0	159	2
1	44	2
1	148	7
1	183	2
1	186	2
2	47	2
2	91	2
2	144	3
2	193	2
3	114	2
3	127	6
3	159	2
3	175	3
4	12	5
4	27	2
4	142	2
4	161	6
5	24	2
5	27	8
5	74	2
5	147	3
6	42	2
6	79	4
6	103	5
7	18	4
7	181	7
8	50	4
8	56	2
8	80	7
9	29	2
9	72	13
10	32	4
10	58	2
10	89	5
10	184	2
11	88	2
11	91	3
11	122	4
11	182	2
12	18	2
12	121	2
12	160	6
13	36	4
13	120	11
14	25	6
14	111	9
15	75	10
15	142	2
16	45	6
16	88	2
16	101	3
16	191	2
16	196	2
17	31	2
17	59	2
17	85	2
17	93	6
17	104	3
18	60	5
18	154	2
18	180	2
19	61	4
19	74	2
19	143	9
20	41	2
20	66	2
20	82	3
20	106	2
20	153	6
21	38	2
21	40	9
21	41	2
21	49	2
22	46	4
22	53	6
22	134	3
22	139	2
23	28	9
23	134	2
23	135	4
24	26	8
24	56	3
25	110	6
26	37	3
26	120	2
27	154	2
28	134	4
28	135	2
29	73	10
29	125	3
30	44	8
30	93	2
31	69	6
31	70	4
32	44	3
33	56	2
33	88	2
34	38	2
34	68	2
34	98	5
34	128	4
34	163	2
35	38	4
35	66	5
35	68	2
35	99	4
36	56	2
36	116	3
36	118	2
36	121	2
36	138	2
37	48	6
37	156	6
38	41	2
38	128	3
39	66	6
39	67	2
39	99	3
39	165	2
40	83	2
40	188	2
40	189	2
41	83	4
41	165	3
41	172	2
42	52	2
42	84	3
42	102	4
43	79	5
43	155	6
44	70	2
45	122	3
45	190	2
45	197	4
46	138	2
47	139	2
49	106	4
50	57	2
50	62	3
50	81	4
51	78	2
51	144	2
51	154	2
51	179	4
54	58	3
54	92	6
55	57	2
55	89	2
57	118	2
57	191	3
58	185	4
59	92	4
59	176	3
60	74	4
61	180	5
64	77	9
64	82	2
64	173	4
65	100	9
65	107	6
66	98	2
67	152	9
67	164	4
68	99	2
68	126	2
68	129	7
69	71	6
70	153	3
71	88	3
73	124	3
74	142	5
76	82	4
76	83	3
76	188	2
78	141	3
78	178	4
82	172	2
82	189	2
83	188	2
83	189	2
84	93	2
84	158	2
85	102	3
86	145	3
87	96	3
88	184	2
89	182	2
89	196	2
90	112	5
94	194	2
94	195	2
95	123	4
95	149	3
96	145	2
97	113	2
97	193	3
98	165	2
101	157	6
105	177	3
113	192	3
115	158	2
117	118	3
119	121	7
123	130	3
126	174	3
140	179	3
149	194	2
149	195	2
155	178	3
162	192	2
183	187	2
