0	42	6
1	178	5
2	38	4
3	71	4
4	357	4
5	110	4
6	260	2
7	39	5
8	141	5
9	90	3
10	367	2
11	227	2
12	105	7
13	128	4
14	311	2
15	98	4
16	185	4
17	60	3
19	240	2
20	101	11
21	30	9
22	136	7
23	300	4
24	56	7
26	218	3
27	129	7
28	88	7
29	247	3
31	188	6
34	74	7
35	94	4
36	134	5
37	353	5
40	140	4
41	158	5
43	200	5
44	173	3
45	210	3
46	305	3
47	366	5
48	50	4
49	102	5
51	308	2
52	350	4
53	323	4
54	343	3
55	179	2
57	338	2
58	385	2
59	159	2
62	251	3
63	89	3
64	282	2
65	274	5
66	111	4
67	290	2
68	232	3
69	125	7
70	291	4
72	298	5
73	78	9
75	164	2
76	257	4
77	241	4
79	162	6
80	237	6
81	320	5
82	253	2
83	331	3
84	194	3
85	231	5
86	109	6
91	351	3
92	151	5
93	154	3
95	352	3
96	147	3
97	292	3
99	322	4
100	299	7
103	135	5
104	283	2
106	122	3
107	354	2
108	143	4
112	238	3
113	221	2
114	132	2
115	310	4
116	294	2
117	244	3
118	335	3
119	144	3
120	339	2
121	342	3
123	281	3
124	276	4
126	212	5
127	202	6
137	191	4
138	302	3
142	373	2
145	361	2
146	165	5
148	205	3
152	167	3
153	288	3
156	372	2
157	220	2
160	334	5
161	204	3
163	219	4
166	271	3
168	295	2
169	224	3
170	375	2
171	203	9
172	309	3
175	313	2
176	270	3
177	250	3
182	296	2
183	213	5
184	226	5
196	225	3
197	275	2
201	266	3
208	279	3
209	256	3
211	321	5
222	245	2
228	263	5
230	328	2
233	307	3
234	239	3
236	301	4
252	265	4
258	346	2
261	277	2
262	332	5
264	369	4
267	293	3
272	356	4
273	297	2
278	303	3
284	289	3
285	347	4
360	377	2
totalweight = 559
0.08296
