0	10	4
1	123	4
2	30	10
3	157	4
6	12	9
7	52	5
8	171	3
9	43	5
13	131	3
15	82	2
16	105	2
19	83	2
22	62	3
23	207	3
24	145	2
25	176	2
27	70	2
28	159	4
29	60	2
31	197	6
32	126	2
34	156	4
35	101	4
36	93	3
38	94	7
39	153	3
40	213	2
42	172	5
44	166	2
45	74	5
48	99	4
49	168	2
50	87	3
53	160	5
54	199	3
55	177	4
56	92	3
57	198	3
58	91	2
59	137	6
61	65	2
63	106	2
66	122	4
67	85	2
68	161	5
69	183	2
71	202	2
73	136	2
76	90	4
77	146	4
80	135	5
81	184	7
84	110	2
86	125	4
89	124	5
95	187	6
96	208	2
97	150	7
100	186	6
104	165	2
107	181	3
112	209	2
113	215	2
114	204	2
115	210	2
116	129	3
117	180	3
118	120	4
121	144	4
127	185	4
128	170	3
130	152	3
132	203	4
133	205	4
140	169	4
141	196	6
151	189	2
167	182	2
173	174	3
188	214	2
206	211	5
totalweight = 291
0.024917
